model,rank,lambda,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CDE-VAE,200,1e-05,,0.0001,600,0.3,Adam,"[0.0368, 0.0021]","[0.034, 0.0017]","[0.032, 0.0015]","[0.041, 0.0029]","[0.0256, 0.001]","[0.0843, 0.003]","[0.0305, 0.0014]","[0.0273, 0.0011]","[0.0251, 0.001]","[0.0358, 0.0022]","[0.0189, 0.0006]","[0.0346, 0.0023]","[0.0567, 0.0037]","[0.0754, 0.0042]","[0.0912, 0.0046]","[0.0338, 0.0029]","[0.1685, 0.006]"
CDE-VAE,200,1e-05,,0.0005,600,0.3,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CDE-VAE,200,1e-05,,0.001,600,0.3,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CDE-VAE,200,0.0001,,0.0001,600,0.3,Adam,"[0.0356, 0.0021]","[0.0329, 0.0017]","[0.0309, 0.0015]","[0.0397, 0.0028]","[0.025, 0.0009]","[0.0834, 0.003]","[0.0298, 0.0014]","[0.0263, 0.0011]","[0.0243, 0.001]","[0.0344, 0.0021]","[0.0188, 0.0006]","[0.0328, 0.0022]","[0.0559, 0.0037]","[0.0735, 0.0042]","[0.0906, 0.0047]","[0.0323, 0.0028]","[0.1694, 0.006]"
CDE-VAE,200,0.0001,,0.0005,600,0.3,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CDE-VAE,200,0.0001,,0.001,600,0.3,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CDE-VAE,200,0.001,,0.0001,600,0.3,Adam,"[0.0342, 0.002]","[0.0319, 0.0017]","[0.0304, 0.0015]","[0.0377, 0.0027]","[0.0249, 0.001]","[0.0787, 0.0028]","[0.0292, 0.0014]","[0.0267, 0.0012]","[0.0249, 0.001]","[0.0344, 0.0021]","[0.0188, 0.0006]","[0.0309, 0.002]","[0.0506, 0.0034]","[0.069, 0.004]","[0.0865, 0.0044]","[0.0303, 0.0026]","[0.1607, 0.0058]"
CDE-VAE,200,0.001,,0.0005,600,0.3,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CDE-VAE,200,0.001,,0.001,600,0.3,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CDE-VAE,200,0.01,,0.0001,600,0.3,Adam,"[0.0412, 0.0023]","[0.0381, 0.0019]","[0.0359, 0.0017]","[0.0461, 0.0031]","[0.0291, 0.0011]","[0.0906, 0.0032]","[0.0339, 0.0016]","[0.0308, 0.0013]","[0.0286, 0.0011]","[0.0406, 0.0023]","[0.0217, 0.0007]","[0.0377, 0.0024]","[0.0598, 0.0038]","[0.08, 0.0043]","[0.0977, 0.0047]","[0.0369, 0.003]","[0.1746, 0.006]"
CDE-VAE,200,0.01,,0.0005,600,0.3,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CDE-VAE,200,0.01,,0.001,600,0.3,Adam,"[0.0021, 0.0005]","[0.0021, 0.0004]","[0.002, 0.0003]","[0.0021, 0.0006]","[0.002, 0.0002]","[0.0051, 0.0006]","[0.0021, 0.0004]","[0.0019, 0.0003]","[0.002, 0.0003]","[0.002, 0.0005]","[0.0019, 0.0002]","[0.0019, 0.0003]","[0.0021, 0.0007]","[0.0034, 0.0009]","[0.0044, 0.001]","[0.0014, 0.0007]","[0.0106, 0.0015]"
CDE-VAE,200,0.1,,0.0001,600,0.3,Adam,"[0.0408, 0.0023]","[0.0388, 0.0019]","[0.0374, 0.0017]","[0.0436, 0.003]","[0.0318, 0.0012]","[0.0984, 0.0031]","[0.0367, 0.0017]","[0.0339, 0.0014]","[0.0325, 0.0013]","[0.0404, 0.0024]","[0.0251, 0.0009]","[0.0365, 0.0022]","[0.066, 0.0041]","[0.0887, 0.0046]","[0.11, 0.005]","[0.0384, 0.0032]","[0.1997, 0.0064]"
CDE-VAE,200,0.1,,0.0005,600,0.3,Adam,"[0.0409, 0.0023]","[0.0389, 0.0019]","[0.0375, 0.0017]","[0.0437, 0.003]","[0.0318, 0.0012]","[0.098, 0.0031]","[0.0365, 0.0017]","[0.0342, 0.0014]","[0.0326, 0.0013]","[0.0414, 0.0024]","[0.025, 0.0009]","[0.0366, 0.0023]","[0.0645, 0.004]","[0.0889, 0.0046]","[0.1102, 0.0051]","[0.0382, 0.0032]","[0.1994, 0.0064]"
CDE-VAE,200,0.1,,0.001,600,0.3,Adam,"[0.04, 0.0023]","[0.0381, 0.0019]","[0.0367, 0.0017]","[0.0426, 0.0029]","[0.0313, 0.0012]","[0.0958, 0.0031]","[0.0359, 0.0017]","[0.0337, 0.0014]","[0.032, 0.0013]","[0.04, 0.0024]","[0.0247, 0.0009]","[0.0357, 0.0022]","[0.0623, 0.0039]","[0.0868, 0.0045]","[0.1072, 0.005]","[0.0373, 0.0032]","[0.195, 0.0063]"
CDE-VAE,200,1.0,,0.0001,600,0.3,Adam,"[0.0278, 0.0019]","[0.0265, 0.0016]","[0.0255, 0.0014]","[0.0301, 0.0025]","[0.0223, 0.001]","[0.0721, 0.0027]","[0.0248, 0.0014]","[0.0232, 0.0011]","[0.0219, 0.001]","[0.0269, 0.0019]","[0.0188, 0.0007]","[0.0255, 0.0019]","[0.0468, 0.0036]","[0.063, 0.004]","[0.0765, 0.0044]","[0.0257, 0.0027]","[0.1524, 0.0057]"
CDE-VAE,200,1.0,,0.0005,600,0.3,Adam,"[0.0278, 0.0019]","[0.0265, 0.0016]","[0.0255, 0.0014]","[0.0301, 0.0025]","[0.0223, 0.001]","[0.072, 0.0027]","[0.0249, 0.0014]","[0.0233, 0.0011]","[0.022, 0.001]","[0.0271, 0.0019]","[0.0188, 0.0007]","[0.0252, 0.0019]","[0.0462, 0.0035]","[0.0636, 0.0041]","[0.0771, 0.0044]","[0.0261, 0.0027]","[0.1522, 0.0057]"
CDE-VAE,200,1.0,,0.001,600,0.3,Adam,"[0.0278, 0.0019]","[0.0264, 0.0016]","[0.0255, 0.0014]","[0.0303, 0.0025]","[0.0223, 0.001]","[0.0718, 0.0027]","[0.0247, 0.0014]","[0.0231, 0.0011]","[0.0224, 0.001]","[0.0271, 0.0019]","[0.0188, 0.0007]","[0.0252, 0.0019]","[0.0453, 0.0035]","[0.063, 0.0041]","[0.0781, 0.0044]","[0.0261, 0.0027]","[0.1515, 0.0057]"
CDE-VAE,200,10.0,,0.0001,600,0.3,Adam,"[0.0275, 0.0018]","[0.026, 0.0015]","[0.0251, 0.0014]","[0.0297, 0.0025]","[0.022, 0.0009]","[0.0714, 0.0027]","[0.024, 0.0013]","[0.0225, 0.0011]","[0.0216, 0.001]","[0.0268, 0.0019]","[0.0186, 0.0007]","[0.0257, 0.0019]","[0.045, 0.0035]","[0.0598, 0.0039]","[0.0747, 0.0043]","[0.0258, 0.0027]","[0.1508, 0.0057]"
CDE-VAE,200,10.0,,0.0005,600,0.3,Adam,"[0.0275, 0.0018]","[0.026, 0.0015]","[0.0251, 0.0014]","[0.0297, 0.0025]","[0.022, 0.0009]","[0.0713, 0.0027]","[0.024, 0.0013]","[0.0225, 0.0011]","[0.0217, 0.001]","[0.0268, 0.0019]","[0.0186, 0.0007]","[0.0257, 0.0019]","[0.046, 0.0035]","[0.0597, 0.0039]","[0.0753, 0.0043]","[0.0258, 0.0027]","[0.1506, 0.0057]"
CDE-VAE,200,10.0,,0.001,600,0.3,Adam,"[0.0274, 0.0019]","[0.026, 0.0016]","[0.0251, 0.0014]","[0.0298, 0.0025]","[0.0219, 0.0009]","[0.0709, 0.0027]","[0.024, 0.0013]","[0.0229, 0.0011]","[0.0217, 0.001]","[0.0266, 0.0019]","[0.0184, 0.0007]","[0.0256, 0.0019]","[0.0445, 0.0034]","[0.0605, 0.0039]","[0.0753, 0.0043]","[0.026, 0.0027]","[0.1495, 0.0057]"
CDE-VAE,200,100.0,,0.0001,600,0.3,Adam,"[0.0275, 0.0018]","[0.026, 0.0015]","[0.0251, 0.0014]","[0.0297, 0.0025]","[0.022, 0.0009]","[0.0714, 0.0027]","[0.024, 0.0013]","[0.0225, 0.0011]","[0.0216, 0.001]","[0.0268, 0.0019]","[0.0186, 0.0007]","[0.0257, 0.0019]","[0.045, 0.0035]","[0.0598, 0.0039]","[0.0747, 0.0043]","[0.0258, 0.0027]","[0.1508, 0.0057]"
CDE-VAE,200,100.0,,0.0005,600,0.3,Adam,"[0.0275, 0.0018]","[0.026, 0.0015]","[0.0251, 0.0014]","[0.0297, 0.0025]","[0.0219, 0.0009]","[0.0713, 0.0027]","[0.024, 0.0013]","[0.0226, 0.0011]","[0.0217, 0.001]","[0.0268, 0.0019]","[0.0186, 0.0007]","[0.0257, 0.0019]","[0.046, 0.0035]","[0.0597, 0.0039]","[0.0754, 0.0043]","[0.0258, 0.0027]","[0.1506, 0.0057]"
CDE-VAE,200,100.0,,0.001,600,0.3,Adam,"[0.0274, 0.0019]","[0.026, 0.0015]","[0.0251, 0.0014]","[0.0298, 0.0025]","[0.0219, 0.0009]","[0.071, 0.0027]","[0.024, 0.0013]","[0.0228, 0.0011]","[0.0217, 0.001]","[0.0266, 0.0019]","[0.0185, 0.0007]","[0.0255, 0.0019]","[0.0445, 0.0034]","[0.0603, 0.0039]","[0.0753, 0.0043]","[0.026, 0.0027]","[0.1498, 0.0057]"
CDE-VAE,200,1000.0,,0.0001,600,0.3,Adam,"[0.0275, 0.0018]","[0.026, 0.0015]","[0.0251, 0.0014]","[0.0297, 0.0025]","[0.022, 0.0009]","[0.0714, 0.0027]","[0.024, 0.0013]","[0.0225, 0.0011]","[0.0216, 0.001]","[0.0268, 0.0019]","[0.0186, 0.0007]","[0.0257, 0.0019]","[0.045, 0.0035]","[0.0598, 0.0039]","[0.0747, 0.0043]","[0.0258, 0.0027]","[0.1508, 0.0057]"
CDE-VAE,200,1000.0,,0.0005,600,0.3,Adam,"[0.0275, 0.0018]","[0.026, 0.0015]","[0.0251, 0.0014]","[0.0297, 0.0025]","[0.022, 0.0009]","[0.0713, 0.0027]","[0.024, 0.0013]","[0.0225, 0.0011]","[0.0217, 0.001]","[0.0268, 0.0019]","[0.0186, 0.0007]","[0.0257, 0.0019]","[0.046, 0.0035]","[0.0597, 0.0039]","[0.0753, 0.0043]","[0.0258, 0.0027]","[0.1506, 0.0057]"
CDE-VAE,200,1000.0,,0.001,600,0.3,Adam,"[0.0274, 0.0019]","[0.026, 0.0015]","[0.0251, 0.0014]","[0.0298, 0.0025]","[0.0219, 0.0009]","[0.0709, 0.0027]","[0.024, 0.0013]","[0.0228, 0.0011]","[0.0217, 0.001]","[0.0266, 0.0019]","[0.0184, 0.0007]","[0.0255, 0.0019]","[0.0445, 0.0034]","[0.0603, 0.0039]","[0.0753, 0.0043]","[0.026, 0.0027]","[0.1497, 0.0057]"
CDE-VAE,200,10000.0,,0.0001,600,0.3,Adam,"[0.0275, 0.0018]","[0.026, 0.0015]","[0.0251, 0.0014]","[0.0297, 0.0025]","[0.022, 0.0009]","[0.0714, 0.0027]","[0.024, 0.0013]","[0.0225, 0.0011]","[0.0216, 0.001]","[0.0268, 0.0019]","[0.0186, 0.0007]","[0.0257, 0.0019]","[0.045, 0.0035]","[0.0598, 0.0039]","[0.0747, 0.0043]","[0.0258, 0.0027]","[0.1508, 0.0057]"
CDE-VAE,200,10000.0,,0.0005,600,0.3,Adam,"[0.0275, 0.0018]","[0.026, 0.0015]","[0.0251, 0.0014]","[0.0297, 0.0025]","[0.022, 0.0009]","[0.0713, 0.0027]","[0.024, 0.0013]","[0.0225, 0.0011]","[0.0217, 0.001]","[0.0268, 0.0019]","[0.0186, 0.0007]","[0.0257, 0.0019]","[0.046, 0.0035]","[0.0597, 0.0039]","[0.0753, 0.0043]","[0.0258, 0.0027]","[0.1505, 0.0057]"
CDE-VAE,200,10000.0,,0.001,600,0.3,Adam,"[0.0274, 0.0019]","[0.026, 0.0016]","[0.0251, 0.0014]","[0.0298, 0.0025]","[0.0219, 0.0009]","[0.071, 0.0027]","[0.024, 0.0013]","[0.0228, 0.0011]","[0.0217, 0.001]","[0.0266, 0.0019]","[0.0185, 0.0007]","[0.0256, 0.0019]","[0.0444, 0.0034]","[0.0603, 0.0039]","[0.0754, 0.0043]","[0.026, 0.0027]","[0.1498, 0.0057]"
